epoch,tot_train_loss,tot_val_loss,acc,kappa,mcc,precision,recall
0,0.47587223122785755,0.4780722100001115,0.8824565410614014,0.697071373462677,0.6984198093414307,0.8138747811317444,0.7425848245620728
1,0.4626402511253013,0.48097942425654483,0.8551170825958252,0.6552197933197021,0.6587994694709778,0.7061405181884766,0.817578911781311
2,0.4597130589657002,0.4771025845637688,0.8513264656066895,0.6122063994407654,0.6127268075942993,0.7347796559333801,0.691189706325531
3,0.45707383000098906,0.47302234860566944,0.8597225546836853,0.6339123249053955,0.6356355547904968,0.7701454758644104,0.6903122663497925
4,0.4568153864091581,0.4726158265884106,0.8546035289764404,0.6200337409973145,0.6217429637908936,0.7593557238578796,0.6800644397735596
5,0.45468195950662765,0.47007364951647246,0.8591629862785339,0.6310371160507202,0.6336798071861267,0.7780017852783203,0.6789722442626953
6,0.4523286422093709,0.46579124148075396,0.8785133957862854,0.6780726313591003,0.6856970191001892,0.8532644510269165,0.6815494298934937
7,0.4515211778181093,0.4663438407274393,0.8807250261306763,0.6810387372970581,0.6907188296318054,0.8682063817977905,0.6735221147537231
8,0.45225582520167035,0.4684638037131383,0.8830380439758301,0.6901332139968872,0.6959267258644104,0.8494166731834412,0.6996086239814758
9,0.451168742802766,0.4648961264353532,0.8832887411117554,0.6865456104278564,0.6911648511886597,0.8361097574234009,0.7019966244697571
10,0.4503757658305469,0.46707061391610366,0.8843429088592529,0.6948311924934387,0.6976812481880188,0.827699601650238,0.7230051159858704
11,0.4502182151820209,0.4660566242841574,0.8848922848701477,0.692776083946228,0.7007258534431458,0.8662664890289307,0.6897820830345154
12,0.4496664120270325,0.46433043479919434,0.884638249874115,0.6944549083709717,0.7003967761993408,0.8538826704025269,0.7019944190979004
13,0.44906421744071684,0.4641312544162457,0.8854432106018066,0.6897580027580261,0.6986569166183472,0.8691499829292297,0.6814343333244324
14,0.4483173387544649,0.4650568664073944,0.8821988701820374,0.6933480501174927,0.6952944397926331,0.817866861820221,0.7318933010101318
15,0.4483859055751079,0.4645625696732448,0.8911811709403992,0.7145190834999084,0.7175651788711548,0.8451497554779053,0.736602246761322
16,0.4482603905437229,0.4643472135066986,0.8864895701408386,0.694061815738678,0.6992136836051941,0.846004843711853,0.7038446664810181
17,0.4484183825888075,0.4624612881587102,0.8768315315246582,0.6713997721672058,0.6790062189102173,0.8474302887916565,0.6757987141609192
18,0.4472436324970142,0.46311014661422145,0.890174925327301,0.710014820098877,0.714036226272583,0.8503729701042175,0.7253496050834656
19,0.44503939554498,0.4598467785578508,0.887829065322876,0.702926754951477,0.709402322769165,0.86435467004776,0.7053744792938232
20,0.448565504572413,0.4610535135635963,0.8790547251701355,0.676437497138977,0.6865975260734558,0.8675566911697388,0.668192982673645
21,0.446736250911747,0.4632585851045755,0.8744471073150635,0.6682901382446289,0.6719139218330383,0.8149086833000183,0.6974585652351379
22,0.4461871930607804,0.46122575723207915,0.8842902779579163,0.6885569095611572,0.698310375213623,0.8740678429603577,0.6778259873390198
23,0.4458488537384583,0.46146098925517154,0.885134220123291,0.6957046985626221,0.7005482912063599,0.8461874723434448,0.7091677784919739
24,0.4447015988397169,0.4596953850526076,0.8922643661499023,0.718392014503479,0.7233784794807434,0.8657474517822266,0.7266386151313782
25,0.4463614587848251,0.4577338191179129,0.8878655433654785,0.7049069404602051,0.7125908136367798,0.874846339225769,0.7017621397972107
26,0.44531034053982915,0.46105454059747547,0.8857680559158325,0.6986964344978333,0.7027121782302856,0.8417820334434509,0.7172430753707886
27,0.4440369761741913,0.45694454128925616,0.8896584510803223,0.7022390365600586,0.7136938571929932,0.8949289321899414,0.6809280514717102
28,0.4441621432433257,0.46152509405062747,0.8889867067337036,0.7103366255760193,0.7121886014938354,0.8292433619499207,0.7449762225151062
29,0.4442453089061084,0.4586744216772226,0.883866548538208,0.6914228796958923,0.7014654874801636,0.8789631128311157,0.6805226802825928
30,0.44479205774831343,0.4605901814424075,0.8881399035453796,0.6912206411361694,0.7021523118019104,0.8817929625511169,0.6718802452087402
31,0.4452661053017453,0.457688012948403,0.8901504278182983,0.7008299827575684,0.7099035382270813,0.8785828351974487,0.6880959868431091
32,0.44309868388347795,0.45943554318868196,0.8854311108589172,0.6932353973388672,0.6998246908187866,0.8568737506866455,0.6962424516677856
33,0.4423771481793206,0.459324639577132,0.8850976824760437,0.6946600675582886,0.7029547691345215,0.8703439235687256,0.6901960968971252
34,0.4442818296385241,0.4598952050392444,0.8890973925590515,0.7134396433830261,0.7161649465560913,0.842411458492279,0.7404141426086426
35,0.44534508279851964,0.460245104936453,0.8846439719200134,0.6983590126037598,0.7024615406990051,0.8430612683296204,0.7175856828689575
36,0.4432533412903279,0.45819310729320234,0.8931637406349182,0.7107993364334106,0.7181559801101685,0.8752149343490601,0.7039305567741394
37,0.44341555667353105,0.4588335133515872,0.8842519521713257,0.6962774395942688,0.7023114562034607,0.8567285537719727,0.7041090130805969
